x,y
35.409,22.5
26.5416,32.7416
50.409,48.4808
63.2468,42.5768
89.046,58.8335
101.884,52.9295
112.228,65.0452
101.884,76.9295
94.2282,96.2221
111.884,94.25
130.933,106.057
138.93,101.497
151.718,118.057
146.694,130.475
139.718,138.842
148.904,147.861
161.849,148.126
180.648,143.828
176.343,158.697
177.245,175.646
182.219,196.24
173.204,213.431
185.93,219.952
200.766,228.21
219.032,227.716
240.746,226.955
255.41,216.734
254.325,230.672
263.502,243.539
262.995,259.392
280.364,270.736
294.149,266.7
303.215,281.024
305.493,296.622
307.03,318.832
299.392,334.129
300.929,356.339
293.292,371.636
297.076,380.028
306.762,407.168
301.092,419.826
310.069,445.096
304.393,457.682
293.999,479.531
297.435,497.072
308.514,515.31
302.468,532.813
297.283,543.129
309.226,547.4
323.179,545.458
342.724,541.577
363.018,549.041
378.579,544.802
400.865,552.445
418.419,548.385
435.344,536.47
455.857,541.878
474.753,529.62
495.266,535.028
504.889,539.606
511.352,526.95
506.402,513.65
497.888,500.141
